"species","individ","tx","perc.bb","ind"
"BETPAP","BETPAP_G01","A",54.1666666666667,1
"BETPAP","BETPAP_G02","B",47.6190476190476,1
"BETPAP","BETPAP_G03","A",77.7777777777778,2
"BETPAP","BETPAP_G04","A",87.5,3
"BETPAP","BETPAP_G05","A",84.2105263157895,4
"BETPAP","BETPAP_G06","A",75,5
"BETPAP","BETPAP_G07","A",53.3333333333333,6
"BETPAP","BETPAP_G08","B",77.7777777777778,2
"BETPAP","BETPAP_G09","A",64.2857142857143,7
"BETPAP","BETPAP_G10","B",69.2307692307692,3
"BETPAP","BETPAP_G11","B",75,4
"BETPAP","BETPAP_G12","B",88.2352941176471,5
"BETPAP","BETPAP_G13","B",63.6363636363636,6
"BETPAP","BETPAP_G14","B",92,7
"BETPOP","BETPOP_W01","A",92,1
"BETPOP","BETPOP_W02","B",92.8571428571429,1
"BETPOP","BETPOP_W03","A",96.875,2
"BETPOP","BETPOP_W04","B",50,2
"BETPOP","BETPOP_W05","A",79.1666666666667,3
"BETPOP","BETPOP_W06","B",80,3
"BETPOP","BETPOP_W07","A",70.2702702702703,4
"BETPOP","BETPOP_W08","B",47.0588235294118,4
"BETPOP","BETPOP_W09","B",69.2307692307692,5
"BETPOP","BETPOP_W10","A",83.3333333333333,5
"BETPOP","BETPOP_W11","A",90,6
"BETPOP","BETPOP_W12","B",76.3157894736842,6
"BETPOP","BETPOP_W13","A",37.5,7
"BETPOP","BETPOP_W14","B",66.6666666666667,7
"BETPOP","BETPOP_W15","A",84.6153846153846,8
