,material,position,measurement,flapFreq,measFreq,meanAmp,sdAmp,samples,seAmp
1,coral,ctrl,Fx,0.5,0.5,0.014885657,0.000670185,3,0.000386931
2,coral,ctrl,Fy,0.5,0.5,0.10376897,0.003220008,3,0.001859072
3,coral,ctrl,Tz,0.5,0.5,21.60262476,0.358434762,3,0.206942406
4,coral,ctrl,Fx,1,1,0.036010106,0.001673728,8,0.000591752
5,coral,ctrl,Fy,1,1,0.187012361,0.005406529,9,0.001802176
6,coral,ctrl,Tz,1,1,35.01914887,0.418643414,8,0.148012799
7,coral,ctrl,Fx,1.5,1.5,0.037946091,0.002387324,13,0.000662125
8,coral,ctrl,Fy,1.5,1.5,0.804324821,0.008344482,14,0.002230157
9,coral,ctrl,Tz,1.5,1.5,28.09443877,0.223483738,13,0.061983237
10,coral,ctrl,Fx,2,2,0.058810658,0.003719837,18,0.000876774
11,coral,ctrl,Fy,2,2,1.610116175,0.008572781,18,0.002020624
12,coral,ctrl,Tz,2,2.1,12.52686005,0.209985123,18,0.049493968
13,coral,ctrl,Fx,2.5,2.5,0.073222758,0.009384692,23,0.001956844
14,coral,ctrl,Fy,2.5,2.5,2.593409026,0.028317202,24,0.005780225
15,coral,ctrl,Tz,2.5,2.4,26.98638382,0.543293126,23,0.113284448
16,coral,far,Fx,0.5,0.5,0.020292726,0.000375004,3,0.000216509
17,coral,far,Fy,0.5,0.4,0.130285018,0.001905519,3,0.001100152
18,coral,far,Tz,0.5,0.5,22.1487052,0.095402237,3,0.055080507
19,coral,far,Fx,1,1,0.033638855,0.001225481,8,0.000433273
20,coral,far,Fy,1,1.1,0.228726839,0.005408268,8,0.001912112
21,coral,far,Tz,1,1,28.85195363,0.242498482,9,0.080832827
22,coral,far,Fx,1.5,1.5,0.03870165,0.002729594,13,0.000757053
23,coral,far,Fy,1.5,1.5,0.804303089,0.009270638,13,0.002571212
24,coral,far,Tz,1.5,1.5,24.64377243,0.179460994,13,0.049773524
25,coral,far,Fx,2,2,0.049201022,0.004095636,18,0.000965351
26,coral,far,Fy,2,2,1.577664546,0.014193662,19,0.003256249
27,coral,far,Tz,2,2.5,16.15676969,0.589196927,18,0.138875048
28,coral,far,Fx,2.5,2.5,0.090255721,0.007877671,23,0.001642608
29,coral,far,Fy,2.5,2.4,2.458615432,0.031514344,23,0.006571195
30,coral,far,Tz,2.5,2.9,31.95504516,0.454581621,23,0.09478682
31,coral,near,Fx,0.5,0.5,0.021742956,0.000529883,3,0.000305928
32,coral,near,Fy,0.5,0.5,0.13265683,0.001300218,3,0.000750681
33,coral,near,Tz,0.5,0.5,23.83153884,0.103994969,3,0.060041523
34,coral,near,Fx,1,1,0.032497808,0.001233535,8,0.000436121
35,coral,near,Fy,1,1.1,0.183566141,0.005571401,8,0.001969788
36,coral,near,Tz,1,1,28.86397714,0.349027975,9,0.116342658
37,coral,near,Fx,1.5,1.5,0.041515867,0.00126308,13,0.000350315
38,coral,near,Fy,1.5,1.5,0.751963498,0.010207118,13,0.002830945
39,coral,near,Tz,1.5,1.5,25.13328608,0.293984433,13,0.081536611
40,coral,near,Fx,2,2,0.059170823,0.002412111,18,0.00056854
41,coral,near,Fy,2,1.9,1.512008738,0.013503299,18,0.003182758
42,coral,near,Tz,2,2.1,14.34840892,0.47084451,18,0.110979115
43,coral,near,Fx,2.5,2.5,0.106613046,0.007950448,23,0.001657783
44,coral,near,Fy,2.5,2.4,2.373063024,0.028558695,23,0.0059549
45,coral,near,Tz,2.5,2.4,24.94355992,0.773587023,23,0.161304045
46,pink,ctrl,Fx,1,1,0.011076063,0.001228553,8,0.000434359
47,pink,ctrl,Fy,1,1,0.413245765,0.002430679,8,0.000859375
48,pink,ctrl,Tz,1,1,6.014248262,0.0918525,8,0.032474763
49,pink,ctrl,Fx,0.5,0.5,0.007069603,0.000366056,3,0.000211343
50,pink,ctrl,Fy,0.5,0.5,0.068340085,0.000258388,4,0.000129194
51,pink,ctrl,Tz,0.5,0.5,4.221925019,0.022357776,3,0.012908268
52,pink,ctrl,Fx,1.5,1.5,0.02878706,0.002486935,13,0.000689752
53,pink,ctrl,Fy,1.5,1.4,0.7471378,0.010367176,14,0.002770744
54,pink,ctrl,Tz,1.5,1.4,14.94815839,0.289331434,13,0.080246102
55,pink,ctrl,Fx,2,2,0.056232532,0.002036656,18,0.000480044
56,pink,ctrl,Fy,2,1.9,1.096946483,0.014154546,19,0.003247276
57,pink,ctrl,Tz,2,2,17.41519875,0.326713576,18,0.077007128
58,pink,ctrl,Fx,2.5,2.5,0.097694877,0.00852477,23,0.001777537
59,pink,ctrl,Fy,2.5,2.3,1.65287354,0.024253943,24,0.004950815
60,pink,ctrl,Tz,2.5,2.3,15.21136916,0.313042773,23,0.06527393
61,pink,ctrl,Fx,3,3,0.171161582,0.010896317,28,0.00205921
62,pink,ctrl,Fy,3,3,2.386342631,0.030723748,28,0.005806243
63,pink,ctrl,Tz,3,3,15.67465462,0.420794689,28,0.079522721
64,pink,far,Fx,0.5,0.5,0.007890795,0.000214967,3,0.000124111
65,pink,far,Fy,0.5,0.5,0.077685228,0.000233011,4,0.000116506
66,pink,far,Tz,0.5,0.5,5.050083956,0.020804085,3,0.012011244
67,pink,far,Fx,1.5,1.5,0.029435025,0.003988909,13,0.001106324
68,pink,far,Fy,1.5,1.4,0.670087317,0.015561767,14,0.004159057
69,pink,far,Tz,1.5,1.5,12.19648461,0.27505427,13,0.076286329
70,pink,far,Fx,3,3,0.150172467,0.009292469,28,0.001756111
71,pink,far,Fy,3,2.9,2.258558015,0.022426146,28,0.004238143
72,pink,far,Tz,3,2.9,16.25549987,0.381110347,28,0.072023086
73,pink,far,Fx,1,1,0.009224413,0.001447302,8,0.000511699
74,pink,far,Fy,1,1,0.393329231,0.004762326,8,0.001683737
75,pink,far,Tz,1,0.9,6.270100118,0.122125392,8,0.043177846
76,pink,far,Fx,2,2,0.04963189,0.004249933,18,0.001001719
77,pink,far,Fy,2,1.9,1.02353185,0.014542883,19,0.003336366
78,pink,far,Tz,2,2,14.902372,0.274669104,18,0.064740129
79,pink,far,Fx,2.5,2.5,0.125301311,0.010126855,23,0.002111595
80,pink,far,Fy,2.5,2.5,1.53680015,0.030305922,23,0.006319221
81,pink,far,Tz,2.5,2.2,14.32640345,0.399451685,23,0.083291434
82,pink,near,Fx,0.5,0.5,0.00764366,0.000260714,3,0.000150523
83,pink,near,Fy,0.5,0.5,0.074520787,0.000921569,3,0.000532068
84,pink,near,Tz,0.5,0.5,5.041870683,0.020305513,3,0.011723394
85,pink,near,Fx,1,1,0.007034076,0.001739302,8,0.000614936
86,pink,near,Fy,1,1,0.369912499,0.002723545,8,0.000962919
87,pink,near,Tz,1,1,5.156790085,0.119216182,8,0.042149285
88,pink,near,Fx,1.5,1.5,0.022486564,0.002371858,13,0.000657835
89,pink,near,Fy,1.5,1.4,0.677534508,0.013366044,13,0.003707074
90,pink,near,Tz,1.5,1.6,11.24093075,0.26641919,13,0.073891389
91,pink,near,Fx,2,2,0.052070574,0.003356621,18,0.000791163
92,pink,near,Fy,2,1.9,1.061388453,0.010688644,18,0.002519338
93,pink,near,Tz,2,1.9,15.61505178,0.251357828,18,0.059245608
94,pink,near,Fx,2.5,2.5,0.100389186,0.014659143,23,0.003056643
95,pink,near,Fy,2.5,2.4,1.573710344,0.018358724,23,0.003828058
96,pink,near,Tz,2.5,2.4,14.09948065,0.33532913,24,0.068448772
97,pink,near,Fx,3,3,0.155594976,0.014722814,28,0.00278235
98,pink,near,Fy,3,2.9,2.292510788,0.021683739,28,0.004097841
99,pink,near,Tz,3,3,14.18020835,0.318685078,28,0.060225819
